Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls
1,2024,C,Gabriel Moreno,24,97,351,305,39,81,18,1,5,45,3,1,41,52,0.266,0.353,0.38,0.734,105,116,10,2,0,3,1
2,2024,1B,Christian Walker,33,130,552,479,72,120,26,0,26,84,2,2,55,133,0.251,0.335,0.468,0.803,121,224,12,10,0,8,4
3,2024,2B,Ketel Marte,30,136,583,504,93,147,23,2,36,95,7,1,65,106,0.292,0.372,0.56,0.932,155,282,9,5,0,9,7
4,2024,SS,Geraldo Perdomo,24,98,388,337,61,92,21,2,3,37,9,1,36,58,0.273,0.344,0.374,0.718,101,126,5,3,7,5,0
5,2024,3B,Eugenio Suárez,32,158,640,571,90,146,28,2,30,101,2,1,49,176,0.256,0.319,0.469,0.788,116,268,10,9,0,11,0
6,2024,LF,Lourdes Gurriel Jr.,30,133,553,513,72,143,22,2,18,75,7,1,29,101,0.279,0.322,0.435,0.757,109,223,16,6,0,5,1
7,2024,CF,Corbin Carroll,23,158,684,589,121,136,22,14,22,74,35,8,73,130,0.231,0.322,0.428,0.749,107,252,3,10,3,9,0
8,2024,RF,Jake McCarthy,26,142,495,442,66,126,13,7,8,56,25,6,31,78,0.285,0.349,0.4,0.749,109,177,4,14,5,3,1
9,2024,DH,Joc Pederson,32,132,449,367,62,101,17,1,23,64,7,4,55,105,0.275,0.393,0.515,0.908,151,189,5,18,1,3,2
10,2024,MI,Kevin Newman,30,111,311,288,41,80,17,1,3,28,8,1,15,48,0.278,0.311,0.375,0.686,91,108,7,0,6,2,1
11,2024,DH,Randal Grichuk,32,106,279,254,40,74,20,2,12,46,0,0,20,46,0.291,0.348,0.528,0.875,140,134,5,3,0,2,0
12,2024,MI,Blaze Alexander,25,61,185,166,19,41,7,0,3,21,3,1,15,49,0.247,0.321,0.343,0.664,86,57,1,3,1,0,0
13,2024,1B,Josh Bell,31,41,162,140,24,39,5,1,5,22,0,1,17,32,0.279,0.361,0.436,0.796,121,61,9,1,0,0,0
14,2024,UT,Pavin Smith,28,60,158,137,26,37,11,0,9,36,1,0,18,31,0.27,0.348,0.547,0.896,145,75,4,0,0,3,0
15,2024,C,José Herrera,27,42,114,97,11,22,4,1,1,13,0,0,9,27,0.227,0.29,0.32,0.609,70,31,1,0,7,1,0
