Rank,Year,Position,Name,Age,Wins,Losses,Winning_Percentage,Earned_Run_Average,Games_Played,Games_Started,Games_Finished,Complete_Games,Shutouts,Saves,Innings_Pitched,Hits_Allowed,Runs_Allowed,Earned_Runs,Home_Runs_Allowed,Walks_Allowed,Intentional_Walks_Allowed,Strikeouts,Hit_By_Pitch,Balks,Wild_Pitches,Batters_Faced,Adjusted_Earned_Run_Average,Fielding_Independent_Pitching,Walks_Hits_Per_Inning_Pitched,Hits_Per_Nine_Innings,Home_Runs_Per_Nine_Innings,Walks_Per_Nine_Innings,Strikeouts_Per_Nine_Innings,Strikeout_Walk_Ratio
1,2024,SP,Brandon Pfaadt,25,11,10,0.524,4.71,32,32,0,0,0,0,181.2,183,103,95,24,42,1,185,4,0,1,760,89,3.61,1.239,9.1,1.2,2.1,9.2,4.4
2,2024,SP,Ryne Nelson,26,10,6,0.625,4.24,28,25,1,0,0,1,150.2,155,73,71,17,34,2,126,5,0,4,630,99,3.74,1.254,9.3,1,2,7.5,3.71
3,2024,SP,Zac Gallen,28,14,6,0.7,3.65,28,28,0,0,0,0,148,133,62,60,13,54,0,156,4,0,5,621,115,3.38,1.264,8.1,0.8,3.3,9.5,2.89
4,2024,SP,Jordan Montgomery,31,8,7,0.533,6.23,25,21,3,0,0,1,117,149,83,81,14,44,3,83,2,0,7,532,67,4.48,1.65,11.5,1.1,3.4,6.4,1.89
5,2024,SP,Slade Cecconi,25,2,7,0.222,6.66,20,13,2,0,0,0,77,92,57,57,16,17,1,64,4,1,2,338,63,5.02,1.416,10.8,1.9,2,7.5,3.76
6,2024,SP,Merrill Kelly,35,5,1,0.833,4.03,13,13,0,0,0,0,73.2,67,35,33,11,19,0,63,2,2,1,300,104,4.25,1.167,8.2,1.3,2.3,7.7,3.32
7,2024,CL,Paul Sewald,34,1,2,0.333,4.31,42,0,34,0,0,16,39.2,35,19,19,6,10,1,43,3,0,0,165,98,3.95,1.134,7.9,1.4,2.3,9.8,4.3
8,2024,RP,Justin Martínez,22,5,6,0.455,2.48,64,0,28,0,0,8,72.2,59,26,20,2,36,6,91,2,1,8,308,170,2.59,1.307,7.3,0.2,4.5,11.3,2.53
9,2024,RP,Kevin Ginkel,30,8,3,0.727,3.21,72,0,16,0,0,5,70,69,31,25,6,15,0,77,3,0,4,291,131,2.85,1.2,8.9,0.8,1.9,9.9,5.13
10,2024,RP,Ryan Thompson,32,7,5,0.583,3.26,67,0,4,0,0,2,66.1,64,26,24,5,15,2,52,1,0,2,272,129,3.3,1.191,8.7,0.7,2,7.1,3.47
11,2024,RP,Joe Mantiply,33,6,2,0.75,3.92,75,2,8,0,0,1,59.2,52,27,26,1,18,7,53,0,1,3,243,107,2.51,1.173,7.8,0.2,2.7,8,2.94
12,2024,P,Bryce Jarvis,26,1,2,0.333,3.19,44,0,17,0,0,0,59.1,52,25,21,6,33,4,38,5,0,4,258,132,5.12,1.433,7.9,0.9,5,5.8,1.15
13,2024,P,Eduardo Rodríguez,31,3,4,0.429,5.04,10,10,0,0,0,0,50,56,29,28,8,19,1,47,1,0,0,224,84,4.57,1.5,10.1,1.4,3.4,8.5,2.47
14,2024,P,Tommy Henry,26,2,3,0.4,7.04,9,7,1,0,0,0,38.1,49,31,30,9,18,0,30,4,0,0,182,60,6.37,1.748,11.5,2.1,4.2,7,1.67
15,2024,P,Scott McGough,34,1,3,0.25,7.44,26,2,7,0,0,0,32.2,34,30,27,6,21,0,25,1,1,1,150,57,6.04,1.684,9.4,1.7,5.8,6.9,1.19
16,2024,P,Yilber Díaz,23,1,1,0.5,3.81,7,4,1,0,0,0,28.1,27,13,12,3,12,0,19,0,0,1,119,111,4.47,1.376,8.6,1,3.8,6,1.58
17,2024,P,Logan Allen,27,0,1,0,5.46,12,0,4,0,0,1,28,32,17,17,3,10,0,21,2,0,0,128,77,4.34,1.5,10.3,1,3.2,6.8,2.1
18,2024,P,A.J. Puk,29,0,1,0,1.32,30,0,5,0,0,2,27.1,15,4,4,2,5,2,43,1,0,0,103,322,1.63,0.732,4.9,0.7,1.6,14.2,8.6
19,2024,P,Blake Walston,23,1,0,1,4.42,7,2,3,0,0,0,18.1,16,12,9,4,10,0,18,3,0,0,83,96,6.17,1.418,7.9,2,4.9,8.8,1.8
20,2024,P,Brandon Hughes,28,0,0,0,8.15,15,2,4,0,0,0,17.2,24,16,16,8,10,0,21,2,0,1,89,52,8.71,1.925,12.2,4.1,5.1,10.7,2.1
21,2024,P,Dylan Floro,33,3,1,0.75,9.37,15,0,2,0,0,0,16.1,23,17,17,4,4,0,8,1,0,0,75,46,6.29,1.653,12.7,2.2,2.2,4.4,2
22,2024,P,Thyago Vieira,31,0,1,0,2.87,11,0,4,0,0,0,15.2,11,6,5,2,9,0,14,0,1,2,66,149,4.76,1.277,6.3,1.1,5.2,8,1.56
23,2024,P,Miguel Castro,29,0,0,0,5.93,11,0,2,0,0,0,13.2,20,9,9,3,3,0,8,1,0,0,64,72,5.73,1.683,13.2,2,2,5.3,2.67
24,2024,P,Kyle Nelson,27,0,0,0,4.22,11,0,4,0,0,0,10.2,8,5,5,2,4,1,8,0,0,0,42,102,5.23,1.125,6.8,1.7,3.4,6.8,2
25,2024,P,Humberto Castellanos,26,0,0,0,5.23,7,0,4,0,0,1,10.1,11,6,6,0,4,0,7,2,0,1,48,83,3.55,1.452,9.6,0,3.5,6.1,1.75
26,2024,P,Matt Bowman,33,0,0,0,8.1,4,0,1,0,0,0,6.2,8,6,6,1,2,0,4,0,0,0,31,54,4.82,1.5,10.8,1.4,2.7,5.4,2
27,2024,P,Luis Frías,26,0,1,0,9.95,7,0,4,0,0,0,6.1,11,8,7,1,4,0,7,0,0,1,31,44,4.9,2.368,15.6,1.4,5.7,9.9,1.75
28,2024,P,Cristian Mena,21,0,0,0,12,1,1,0,0,0,0,3,4,4,4,2,3,0,2,0,1,0,15,39,13.5,2.333,12,6,9,6,0.67
29,2024,P,Joe Jacques,29,0,0,0,13.5,1,0,0,0,0,0,1.1,3,2,2,1,1,0,0,0,0,0,7,39,15.17,3,20.3,6.8,6.8,0,0
30,2024,P,Andrew Saalfrank,26,0,0,0,36,2,0,1,0,0,0,1,2,4,4,0,4,1,0,0,0,1,8,16,15.17,6,18,0,36,0,0
31,2024,P,Pavin Smith,28,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,5,0,9.17,1,0,0,9,0,0
32,2024,P,Tucker Barnhart,33,0,0,0,18,1,0,1,0,0,0,1,4,2,2,1,0,0,0,0,0,0,7,32,16.17,4,36,9,0,0,0
1,2023,SP,Zac Gallen,27,17,9,0.654,3.47,34,34,0,1,1,0,210,188,87,81,22,47,0,220,5,1,8,846,125,3.26,1.119,8.1,0.9,2,9.4,4.68
2,2023,SP,Merrill Kelly,34,12,8,0.6,3.29,30,30,0,0,0,0,177.2,143,71,65,20,69,0,187,4,4,3,722,132,3.85,1.193,7.2,1,3.5,9.5,2.71
3,2023,SP,Ryne Nelson,25,8,8,0.5,5.31,29,27,1,0,0,0,144,159,87,85,24,46,0,96,1,1,6,619,82,5.07,1.424,9.9,1.5,2.9,6,2.09
