Year,Name,Salary,Adjusted_Inflation_Salary
2024,Jordan Montgomery,25000000,25000000
2024,Eduardo Rodriguez,14000000,14000000
2024,Ketel Marte,13600000,13600000
2024,Eugenio Suarez,11285716,11285716
2024,Christian Walker,10900000,10900000
2024,Zac Gallen,10011000,10011000
2024,Lourdes Gurriel Jr.,10000000,10000000
2024,Joc Pederson,9500000,9500000
2024,Merrill Kelly,8500000,8500000
2024,Corbin Carroll,3625000,3625000
2024,Scott McGough,3000000,3000000
2024,Josh Bell,2250000,2250000
2024,Randal Grichuk,1500000,1500000
2024,Ryan Thompson,1350000,1350000
2024,Kevin Ginkel,1225000,1225000
2024,Kevin Newman,946237,946237
2024,Joe Mantiply,925000,925000
2024,Geraldo Perdomo,786000,786000
2024,Jake McCarthy,766000,766000
2024,Ryne Nelson,764300,764300
2024,Gabriel Moreno,760100,760100
2024,Brandon Pfaadt,754400,754400
2024,Justin Martinez,754050,754050
2024,A.J. Puk,638710,638710
2024,Alek Thomas,591591,591591
2024,Pavin Smith,508968,508968
2024,Jose Herrera,393822,393822
2024,Brandon Hughes,167076,167076
2024,Paul Sewald,7350000,7350000
2024,Kyle Nelson,757300,757300
2024,Drey Jameson,749700,749700
2024,Bryce Jarvis,743600,743600
2023,Ketel Marte,11600000,11917840
2023,Merrill Kelly,8500000,8732900
2023,Christian Walker,6500000,6678100
2023,Lourdes Gurriel Jr.,5828571,5988273.845
2023,Zac Gallen,5600000,5753440
2023,Evan Longoria,5000000,5137000
2023,Miguel Castro,4350000,4469190
2023,Tommy Pham,8000000,8219200
2023,Corbin Carroll,1625000,1669525
2023,Jace Peterson,4650000,4777410
2023,Paul Sewald,4100000,4212340
2023,Geraldo Perdomo,738600,758837.64
2023,Kyle Nelson,728900,748871.86
2023,Gabriel Moreno,722500,742296.5
2023,Kevin Ginkel,746600,767056.84
2023,Ryne Nelson,722700,742501.98
2023,Joe Mantiply,756000,776714.4
2023,Alek Thomas,735200,755344.48
2023,Emmanuel Rivera,720000,739728
2023,Brandon Pfaadt,720000,739728
2023,Luis Frias,720000,739728
2023,Bryce Jarvis,720000,739728
2023,Ryan Thompson,720000,739728
2023,Pavin Smith,750000,770550
2023,Justin Martinez,720000,739728
2023,Andrew Saalfrank,720000,739728
2023,Seby Zavala,732000,752056.8
2023,Jordan Lawlar,720000,739728
2023,Mark Melancon,6000000,6164400
2023,Scott McGough,2500000,2568500
2023,Corbin Martin,728400,748358.16
2023,Tommy Henry,720000,739728
2023,Drey Jameson,723600,743426.64
2023,Austin Adams,720000,739728
2023,Dominic Fletcher,720000,739728
2022,Madison Bumgarner,23000000,24603100
2022,Mark Melancon,7000000,7487900
2022,Merrill Kelly,5250000,5615925
2022,Ian Kennedy,4500000,4813650
2022,Carson Kelly,3325000,3556752.5
2022,Christian Walker,2600000,2781220
2022,Caleb Smith,2000000,2139400
2022,Zach Davies,1500000,1604550
2022,Jordan Luplow,1400000,1497580
2022,Zac Gallen,745600,797568.32
2022,Josh Rojas,730900,781843.73
2022,Daulton Varsho,721700,772002.49
2022,Joe Mantiply,717000,766974.9
2022,Geraldo Perdomo,701300,750180.61
2022,Jake McCarthy,702400,751357.28
2022,Cooper Hummel,700000,748790
2022,Sean Poppen,717400,767402.78
2022,Pavin Smith,722900,773286.13
2022,Reyes Moronta,1500000,1604550
2022,Sergio Alcantara,712500,762161.25
2022,Kevin Ginkel,700000,748790
2022,Jake Hager,700000,748790
2022,Buddy Kennedy,700000,748790
2022,Stone Garrett,700000,748790
2022,Tommy Henry,700000,748790
2022,Taylor Widener,700000,748790
2022,Corbin Carroll,700000,748790
2022,Drey Jameson,700000,748790
2022,Ketel Marte,8400000,8985480
2022,Nick Ahmed,8125000,8691312.5
2022,Humberto Castellanos,713700,763444.89
2022,Kyle Nelson,700000,748790
2022,Keynan Middleton,800000,855760
2022,Tyler Gilbert,700000,748790
2022,Emmanuel Rivera,700000,748790
2022,Ryne Nelson,700000,748790
2022,Kristian Robinson,700000,748790
2021,Miguel Aguilar,570500,659098.65
2021,Nick Ahmed,8125000,9386812.5
2021,Seth Beer,570500,659098.65
2021,Ryan Buchter,570500,659098.65
2021,JB Bukauskas,570500,659098.65
2021,Madison Bumgarner,17882892,20660105.13
2021,Asdrubal Cabrera,1750000,2021775
2021,Kole Calhoun,8000000,9242400
2021,Humberto Castellanos,570500,659098.65
2021,Taylor Clarke,601800,695259.54
2021,Tyler Clippard,1750000,2021775
2021,Stefan Crichton,596400,689020.92
2021,Brett de Geus,570500,659098.65
2021,Chris Devenski,1000000,1155300
2021,Jon Duplantier,570500,659098.65
2021,Drew Ellis,570500,659098.65
2021,Eduardo Escobar,7666667,8857300.385
2021,Stuart Fairchild,570500,659098.65
2021,Jacob Faria,570500,659098.65
2021,Seth Frankoff,570500,659098.65
2021,Luis Frias,570500,659098.65
2021,Zac Gallen,607500,701844.75
2021,Tyler Gilbert,570500,659098.65
2021,Kevin Ginkel,585900,676890.27
2021,Jake Hager,570500,659098.65
2021,Nick Heath,570500,659098.65
2021,Bryan Holaday,570500,659098.65
2021,Carson Kelly,1700000,1964010
2021,Merrill Kelly,4250000,4910025
2021,Domingo Leyba,570500,659098.65
2021,Tim Locastro,589100,680587.23
2021,Yoan Lopez,597800,690638.34
2021,Joe Mantiply,570500,659098.65
2021,Ketel Marte,6400000,7393920
2021,Corbin Martin,570500,659098.65
2021,Wyatt Mathisen,573600,662680.08
2021,Jake McCarthy,570500,659098.65
2021,Humberto Mejia,570500,659098.65
2021,Keury Mella,570500,659098.65
2021,Matt Peacock,570500,659098.65
2021,David Peralta,8000000,9242400
2021,Geraldo Perdomo,570500,659098.65
2021,Sean Poppen,570500,659098.65
2021,Noe Ramirez,570500,659098.65
2021,Henry Ramos,570500,659098.65
2021,Josh Reddick,570500,659098.65
2021,Josh Rojas,582400,672846.72
2021,Brandyn Sittinger,570500,659098.65
2021,Caleb Smith,1465000,1692514.5
2021,Pavin Smith,574600,663835.38
2021,Riley Smith,582300,672731.19
2021,Joakim Soria,3500000,4043550
2021,Anthony Swarzak,570500,659098.65
2021,Josh VanMeter,586600,677698.98
2021,Ildemaro Vargas,570500,659098.65
2021,Daulton Varsho,570500,659098.65
2021,Stephen Vogt,3500000,4043550
2021,Christian Walker,619300,715477.29
2021,Luke Weaver,1950000,2252835
2021,Jordan Weems,570500,659098.65
2021,J.B. Wendelken,580500,670651.65
2021,Taylor Widener,583400,674002.02
2021,Alex Young,603000,696645.9
2021,Andrew Young,570500,659098.65
2020,Yasmany Tomás,6290000,7608384
2020,Zack Greinke,3823332,4624702.387
2020,Starling Marte,3700000,4475520
2020,Robbie Ray,3489100,4220415.36
2020,Eduardo Escobar,2651666,3207455.194
2020,David Peralta,2590000,3132864
2020,Nick Ahmed,2590000,3132864
2020,Madison Bumgarner,2220000,2685312
2020,Mike Leake,2220000,2685312
2020,Kole Calhoun,2220000,2685312
2020,Jake Lamb,5510000,6664896
2020,Ketel Marte,2038700,2466011.52
2020,Archie Bradley,1628000,1969228.8
2020,Andrew Chafin,1517000,1834963.2
2020,Merrill Kelly,1126650,1362795.84
2020,Junior Guerra,1126650,1362795.84
2020,Stephen Vogt,943500,1141257.6
2020,Héctor Rondón,925000,1118880
2020,Jon Jay,555000,671328
2020,Luke Weaver,220890,267188.544
2020,Christian Walker,218115,263831.904
2020,Silvino Bracho,216117,261415.1232
2020,Carson Kelly,215029,260099.0784
2020,Yoan López,213897,258729.8112
2020,Stefan Crichton,213675,258461.28
2020,Alex Young,212750,257342.4
2020,Zac Gallen,212750,257342.4
2020,Tim Locastro,212528,257073.8688
2020,Ildemaro Vargas,211862,256268.2752
2020,Josh Rojas,210456,254567.5776
2020,Kevin Ginkel,210382,254478.0672
2020,Corbin Martin,209309,253180.1664
2019,Zack Greinke,34500000,42245250
2019,Yasmany Tomás,15500000,18979750
2019,David Peralta,7000000,8571500
2019,Eduardo Escobar,6166666,7551082.517
2019,Robbie Ray,6050000,7408225
2019,Taijuan Walker,5025000,6153112.5
2019,Jake Lamb,4825000,5908212.5
2019,Alex Avila,4250000,5204125
2019,Steven Souza Jr.,4125000,5051062.5
2019,Jarrod Dyson,3750000,4591875
2019,Wilmer Flores,3750000,4591875
2019,Nick Ahmed,3662500,4484731.25
2019,Greg Holland,3250000,3979625
2019,Yoshihisa Hirano,3000000,3673500
2019,Adam Jones,3000000,3673500
2019,Ketel Marte,2400000,2938800
2019,Merrill Kelly,2000000,2449000
2019,Andrew Chafin,1945000,2381652.5
2019,Archie Bradley,1830000,2240835
2019,T.J. McFarland,1400000,1714300
2019,Matt Andriese,920000,1126540
2019,John Ryan Murphy,900000,1102050
2019,Zack Godley,609400,746210.3
2019,Luke Weaver,581300,711801.85
2019,Silvino Bracho,574600,703597.7
2019,Matt Koch,567600,695026.2
2019,Carson Kelly,560000,685720
2019,Christian Walker,559800,685475.1
2019,Ildemaro Vargas,557000,682046.5
2019,Yoan López,556900,681924.05
2018,Zack Greinke,34000000,42387800
2018,Yasmany Tomás,13500000,16830450
2018,Paul Goldschmidt,11100000,13838370
2018,AJ Pollock,7750000,9661925
2018,Patrick Corbin,7500000,9350250
2018,Shelby Miller,4900000,6108830
2018,Taijuan Walker,4825000,6015327.5
2018,Jake Lamb,4275000,5329642.5
2018,Alex Avila,4000000,4986800
2018,Robbie Ray,3950000,4924465
2018,Jarrod Dyson,3750000,4675125
2018,Steven Souza Jr.,3550000,4425785
2018,Chris Owings,3400000,4238780
2018,David Peralta,3300000,4114110
2018,Yoshihisa Hirano,3000000,3740100
2018,Randall Delgado,2250000,2805075
2018,Jorge De La Rosa,2250000,2805075
2018,Jeff Mathis,2000000,2493400
2018,Daniel Descalso,2000000,2493400
2018,Brad Boxberger,1850000,2306395
2018,Fernando Salas,1500000,1870050
2018,Ketel Marte,1400000,1745380
2018,Nick Ahmed,1275000,1589542.5
2018,Andrew Chafin,1195000,1489806.5
2018,T.J. McFarland,850000,1059695
2018,Archie Bradley,581900,725454.73
2018,Zack Godley,579200,722088.64
2018,Deven Marrero,561500,700022.05
2018,John Ryan Murphy,558000,695658.6
2018,Chris Herrmann,314516,392107.0972
2017,Zack Greinke,34000000,43424800
2017,Yasmany Tomás,9500000,12133400
2017,Paul Goldschmidt,8850000,11303220
2017,AJ Pollock,6750000,8621100
2017,Shelby Miller,4700000,6002840
2017,Patrick Corbin,3950000,5044940
2017,Fernando Rodney,2750000,3512300
2017,Chris Owings,2300000,2937560
2017,Taijuan Walker,2250000,2873700
2017,Jorge De La Rosa,2250000,2873700
2017,Jeff Mathis,2000000,2554400
2017,Randall Delgado,1775000,2267030
2017,Chris Iannetta,1500000,1915800
2017,Daniel Descalso,1350000,1724220
2017,Tom Wilhelmsen,1250000,1596500
2017,Chris Herrmann,937500,1197375
2017,J.J. Hoover,900000,1149480
2017,Jake Lamb,573300,732218.76
2017,David Peralta,572200,730813.84
2017,Robbie Ray,570400,728514.88
2017,Nick Ahmed,566000,722895.2
2017,Andrew Chafin,559300,714337.96
2017,Brandon Drury,553900,707441.08
2017,Jake Barrett,548300,700288.76
2017,Archie Bradley,544100,694924.52
2017,Jeremy Hazelbaker,542500,692881
2017,Socrates Brito,539500,689049.4
2017,Steve Hathaway,538200,687389.04
2016,Zack Greinke,34000000,44349600
2016,Yasmany Tomás,7500000,9783000
2016,Aaron Hill,6500000,8478600
2016,Tyler Clippard,6100000,7956840
2016,Paul Goldschmidt,5850000,7630740
2016,Brad Ziegler,5500000,7174200
2016,Shelby Miller,4350000,5674140
2016,Welington Castillo,3700000,4826280
2016,AJ Pollock,3500000,4565400
2016,Daniel Hudson,2700000,3521880
2016,Jean Segura,2600000,3391440
2016,Patrick Corbin,2525000,3293610
2016,Rubby De La Rosa,2350000,3065340
2016,Josh Collmenter,1850000,2413140
2016,Rickie Weeks Jr.,1500000,1956600
2016,Randall Delgado,1275000,1663110
2016,Chris Owings,530500,691984.2
2016,David Peralta,529600,690810.24
2016,Nick Ahmed,521600,680375.04
2016,Robbie Ray,521000,679592.4
2016,Jake Lamb,520300,678679.32
2016,Andrew Chafin,519700,677896.68
2016,Chris Herrmann,515900,672939.96
2016,Phil Gosselin,513900,670331.16
2016,Silvino Bracho,509300,664330.92
2016,Brandon Drury,508900,663809.16
2016,Socrates Brito,508500,663287.4
2016,Jake Barrett,507500,661983
2016,Matt Reynolds,165983,216508.2252
2015,Aaron Hill,12000000,15849600
2015,Bronson Arroyo,9500000,12547600
2015,Cody Ross,9500000,12547600
2015,Mark Trumbo,6900000,9113520
2015,Trevor Cahill,6800000,8981440
2015,Yasmany Tomás,5500000,7264400
2015,Brad Ziegler,5000000,6604000
2015,Addison Reed,4875000,6438900
2015,Jeremy Hellickson,4275000,5646420
2015,Cliff Pennington,3275000,4325620
2015,Paul Goldschmidt,3100000,4094480
2015,Oliver Pérez,2500000,3302000
2015,David Hernandez,2000000,2641600
2015,Josh Collmenter,1450000,1915160
2015,Gerald Laird,1000000,1320800
2015,Jordan Pacheco,900000,1188720
2015,Daniel Hudson,800000,1056640
2015,Matt Reynolds,600000,792480
2015,Randall Delgado,526000,694740.8
2015,Patrick Corbin,524000,692099.2
2015,AJ Pollock,519500,686155.6
2015,Rubby De La Rosa,516000,681532.8
2015,Tuffy Gosewisch,514500,679551.6
2015,Ender Inciarte,513000,677570.4
2015,Chase Anderson,512500,676910
2015,Chris Owings,512500,676910
2015,Evan Marshall,512000,676249.6
2015,David Peralta,512000,676249.6
2015,Matt Stites,510500,674268.4
2015,Nick Ahmed,508500,671626.8
2015,Jake Lamb,508500,671626.8
2015,Oscar Hernández,507500,670306
2015,Archie Bradley,507500,670306
2015,Andrew Chafin,507500,670306
2014,Aaron Hill,11000000,14546400
2014,Martín Prado,11000000,14546400
2014,Brandon McCarthy,10250000,13554600
2014,Miguel Montero,10000000,13224000
2014,Bronson Arroyo,9500000,12562800
2014,Cody Ross,9500000,12562800
2014,Trevor Cahill,7900000,10446960
2014,J.J. Putz,7000000,9256800
2014,Gerardo Parra,4850000,6413640
2014,Mark Trumbo,4800000,6347520
2014,Brad Ziegler,4500000,5950800
2014,Eric Chavez,3500000,4628400
2014,Cliff Pennington,3250000,4297800
2014,Joe Thatcher,2375000,3140700
2014,David Hernandez,2125000,2810100
2014,Oliver Pérez,1750000,2314200
2014,Paul Goldschmidt,1100000,1454640
2014,Josh Collmenter,975000,1289340
2014,Daniel Hudson,700000,925680
2014,Ryan Rowland-Smith,575000,760380
2014,Matt Reynolds,550000,727320
2014,Addison Reed,538500,712112.4
2014,Wade Miley,523500,692276.4
2014,Patrick Corbin,515000,681036
2014,Will Harris,510000,674424
2014,Randall Delgado,510000,674424
2014,Tony Campana,509500,673762.8
2014,AJ Pollock,507000,670456.8
2014,Tuffy Gosewisch,502000,663844.8
2014,Heath Bell,500000,661200
2014,Chris Owings,500000,661200
2013,Heath Bell,10000000,13438000
2013,Miguel Montero,10000000,13438000
2013,Jason Kubel,7500000,10078500
2013,Martín Prado,7000000,9406600
2013,J.J. Putz,6500000,8734700
2013,Cody Ross,6000000,8062800
2013,Trevor Cahill,5700000,7659660
2013,Aaron Hill,5500000,7390900
2013,Brandon McCarthy,5250000,7054950
2013,Ian Kennedy,4265000,5731307
2013,Brad Ziegler,3150000,4232970
